Team Name,Momentum
Colorado St,5.717150062
Florida,5.600589772
Maryland,4.604791867
North Carolina,3.829510567
Oregon,3.569959105
Gonzaga,3.400125411
Michigan St,3.37837534
BYU,3.028002618
Houston,2.712402446
Arizona,2.610721563
Oklahoma,2.487725271
George Mason,2.442960226
Northwestern,2.324640174
Duke,2.279564845
La Salle,2.193582655
Merrimack,2.164120546
Dayton,2.112770114
Dartmouth,2.084215603
UCF,2.05226861
Iowa St,2.048133576
Xavier,1.984411183
Santa Clara,1.979585476
UTSA,1.957349889
St John's,1.771263635
UCSD,1.723587058
Purdue,1.710501157
Arkansas,1.590945793
Robert Morris,1.576738205
Duquesne,1.570830615
E Michigan,1.540853695
Drake,1.537101633
Wisconsin,1.519830108
Clemson,1.492549681
UAB,1.457524265
New Mexico St,1.45391217
Jacksonville St,1.402164712
Colorado,1.389654245
Kent St,1.380012944
St Francis PA,1.370716831
E Illinois,1.327236578
Long Beach St,1.315421672
Cornell,1.298598155
Denver,1.297562507
Valparaiso,1.279467032
Oakland,1.266030672
Marshall,1.23102898
Hampton,1.192204091
Belmont,1.190170523
Indiana St,1.181833552
Delaware,1.168181385
Michigan,1.163773535
DePaul,1.089941417
Harvard,1.08881611
Chattanooga,1.086028033
SMU,1.027968139
Bellarmine,1.026976873
Kennesaw St,1.023337882
Alabama,1.019144771
Tulane,0.9977116411
Loyola Chi,0.9927265255
Creighton,0.9728588926
Monmouth,0.9562908243
Montana,0.9430037311
Texas Tech,0.9168537987
Syracuse,0.914144598
Drexel,0.8914233412
Jackson St,0.8793870612
Tarleton St,0.8657372108
Portland,0.864770845
Presbyterian,0.8503531752
Wofford,0.8153352161
Troy,0.8142512896
Tennessee,0.7950101021
Georgia St,0.7875560659
S Alabama,0.7774386484
C Michigan,0.6770737269
American,0.67368747
Lamar,0.6684119292
Furman,0.6622582125
Loyola Mymt,0.6560510472
Winthrop,0.6374213518
Bucknell,0.6203882484
N Kentucky,0.6110957706
Saint Peter's,0.5898897102
Charlotte,0.5847908801
NW State,0.5800813472
North Dakota,0.5780114425
Sacred Heart,0.5392506315
W Carolina,0.5309198713
N Texas,0.5202810756
Vermont,0.5177556454
Indiana,0.4851465127
F Dickinson,0.4805170266
NC Wilmington,0.4721717201
Maryland ES,0.4634688548
E Kentucky,0.4631028099
Radford,0.4336688265
Wichita St,0.412976248
Baylor,0.4065385811
SE Missouri St,0.4020984504
LIU,0.3996199986
Abl Christian,0.3964501194
McNeese,0.3904587243
Memphis,0.3879429672
Queens,0.3813647532
Weber St,0.3802460876
Navy,0.3761944044
Oklahoma St,0.3680773011
