Team,PPG,PPGA,ScoringMargin,OffensiveEff,DefensiveEff,FloorP,FloorPA,PTWO,PTWOA,PTHREE,PTHREEA,PFT,PFTA,TWOPP,TWOPPA,THREEPP,THREEPPA,FTR,FTRA,ORB,ORBA,DRB,DRBA,BlockP,BlockPA,StealP,StealPA,AssistR,AssistRA,FoulR,FoulRA,ESCPG,EPR,EPRA,TOVR,TOVRA,WinP
Alabama,91.1,81.4,9.7,1.156,1.034,53.9,49.4,45.9,53.3,33.9,27.1,20.2,19.7,60.2,48.8,34.9,30.6,0.402,0.333,32.3,27.0,73.0,67.7,6.5,6.6,7.7,9.9,0.217,0.162,24.0,26.5,-2.1,0.975,1.002,14.3,11.6,0.765
Gonzaga,86.7,69.6,17.1,1.182,0.949,55.5,44.3,56.2,50.2,25.8,31.4,18.0,18.3,57.6,49.0,35.1,29.9,0.307,0.292,30.6,23.1,76.9,69.4,4.9,5.4,10.3,7.3,0.269,0.164,23.0,24.1,5.1,0.997,0.928,11.5,16.0,0.765
Florida,85.7,69.2,16.5,1.184,0.957,54.6,45.5,47.4,51.2,34.7,28.5,17.9,20.3,56.6,46.2,35.4,29.3,0.332,0.328,37.6,26.6,73.4,62.4,7.7,4.8,10.7,8.7,0.221,0.155,23.8,23.9,4.2,1.025,0.967,12.6,14.7,0.886
Kentucky,85.0,77.3,7.8,1.144,1.04,52.9,48.3,47.1,49.2,33.9,32.9,19.0,17.9,55.9,53.4,37.4,30.6,0.356,0.305,26.6,24.5,75.5,73.4,6.5,4.6,9.0,8.6,0.229,0.173,23.2,23.9,-0.8,0.966,0.976,13.3,12.4,0.677
South Dakota,84.4,86.6,-2.2,1.096,1.125,52.9,52.7,48.8,50.2,26.8,31.1,24.5,18.7,51.7,55.4,31.6,35.9,0.454,0.352,27.6,33.0,67.0,72.4,4.8,5.3,9.5,6.5,0.144,0.203,24.9,27.7,2.6,1.006,0.972,10.9,14.8,0.533
Illinois,83.9,74.6,9.3,1.127,1.002,52.0,47.5,46.1,56.2,33.8,27.0,20.1,16.8,57.3,46.0,31.4,33.5,0.345,0.269,35.1,23.1,76.9,64.9,6.4,4.6,5.8,8.7,0.201,0.169,21.6,24.5,0.7,1.001,0.991,13.5,11.0,0.647
Auburn,83.8,69.4,14.4,1.18,0.977,54.7,47.1,48.6,51.0,33.1,25.3,18.3,23.7,56.3,47.1,36.6,29.0,0.341,0.39,33.3,26.8,73.2,66.7,10.5,4.4,9.6,8.7,0.232,0.132,26.1,25.0,4.1,1.013,0.956,11.5,15.0,0.853
Missouri,83.6,73.6,10.0,1.17,1.03,55.3,48.4,45.2,49.5,31.2,29.6,23.6,20.9,56.3,51.2,36.7,33.6,0.471,0.357,32.4,30.7,69.3,67.6,4.6,6.2,13.1,9.4,0.192,0.175,25.5,28.4,3.4,0.983,0.935,13.4,17.4,0.647
Akron,83.4,76.4,7.0,1.117,1.024,50.4,48.2,46.5,51.0,37.9,29.7,15.6,19.3,55.2,51.0,36.4,32.4,0.27,0.331,30.8,26.8,73.2,69.2,6.1,4.1,10.0,9.5,0.232,0.164,24.3,22.5,1.5,0.972,0.952,14.1,15.0,0.788
Cornell,83.4,78.7,4.7,1.133,1.069,50.8,49.9,45.1,50.4,39.2,32.2,15.7,17.4,61.1,52.3,37.4,34.7,0.286,0.313,24.0,25.8,74.2,76.0,4.9,3.3,8.2,8.9,0.245,0.207,22.9,22.3,-2.3,0.933,0.964,14.9,13.5,0.593
Duke,83.0,61.5,21.5,1.214,0.9,54.9,41.8,45.3,50.4,37.0,32.7,17.7,16.9,58.2,43.3,37.7,30.4,0.316,0.25,33.5,22.7,77.3,66.5,6.6,5.1,10.2,7.7,0.247,0.167,23.1,23.9,4.6,1.007,0.94,12.0,15.5,0.914
Iowa,82.5,79.7,2.8,1.132,1.094,51.7,51.0,50.6,53.4,35.3,31.1,13.9,15.5,56.6,56.2,38.0,34.4,0.26,0.283,23.4,30.5,69.5,76.6,6.8,4.5,9.1,8.2,0.25,0.219,21.1,21.9,0.8,0.969,0.958,12.2,15.5,0.515
Winthrop,82.3,79.8,2.5,1.072,1.04,51.9,48.9,49.1,48.5,28.1,30.8,22.8,20.7,55.0,50.6,33.8,35.2,0.477,0.371,28.6,28.9,71.1,71.4,5.4,6.7,10.1,9.1,0.158,0.166,26.4,30.2,0.4,0.95,0.945,15.4,16.2,0.645
Arizona,82.1,72.2,9.8,1.129,0.994,53.6,45.7,53.8,46.4,25.5,35.7,20.8,17.8,55.3,46.9,32.9,33.4,0.359,0.292,34.9,25.2,74.8,65.1,7.2,4.4,10.5,8.8,0.226,0.184,22.9,24.2,1.9,0.986,0.96,13.9,14.3,0.657
Santa Clara,81.9,72.5,9.4,1.135,1.005,51.0,47.2,44.0,51.1,40.3,30.3,15.7,18.5,54.8,51.5,38.3,30.8,0.287,0.311,31.1,25.4,74.6,68.9,5.1,5.6,9.2,8.4,0.238,0.207,22.7,21.8,1.5,0.97,0.95,14.5,14.9,0.636
Maryland,81.6,66.5,15.2,1.128,0.919,52.8,43.0,51.5,53.7,29.8,29.2,18.7,17.1,52.7,47.2,37.3,30.4,0.331,0.261,29.1,25.4,74.6,70.9,7.7,4.3,10.8,6.7,0.2,0.164,21.5,24.8,4.7,0.984,0.92,12.5,17.7,0.765
Cal Poly,81.6,83.4,-1.8,1.053,1.076,46.6,50.0,41.7,49.8,42.5,31.4,15.8,18.8,56.0,54.3,36.3,34.4,0.268,0.323,25.5,32.5,67.5,74.5,3.2,5.0,10.2,11.7,0.195,0.191,23.6,21.9,-3.8,0.902,0.951,18.3,16.4,0.441
St Thomas,81.6,76.1,5.5,1.146,1.069,51.8,49.5,43.6,46.3,37.8,33.2,18.6,20.5,58.1,52.1,38.3,35.4,0.34,0.359,18.6,28.8,71.2,81.4,5.4,5.2,9.5,7.1,0.205,0.185,25.7,25.0,0.0,0.942,0.942,12.5,16.1,0.677
Samford,81.5,76.8,4.7,1.103,1.04,49.7,48.8,43.8,44.3,40.0,33.9,16.3,21.8,53.9,54.1,36.9,35.0,0.294,0.426,32.1,31.3,68.7,67.9,6.0,5.5,13.0,11.4,0.218,0.207,26.8,22.4,3.1,0.961,0.919,15.8,18.6,0.645
UAB,81.4,76.3,5.1,1.13,1.059,53.9,49.6,57.0,53.5,23.9,29.5,19.2,16.9,50.1,50.4,34.0,35.0,0.315,0.288,37.2,28.0,72.0,62.8,7.0,5.9,9.0,8.1,0.218,0.189,21.5,22.4,4.8,1.043,0.976,11.6,13.2,0.647
