Team,Ranking Score
Duke,16786.390065823973
Florida,12652.061964606666
Alabama,11102.55332774131
Houston,11035.202897308882
Auburn,10889.480881137191
St John's,10377.545915321021
Michigan St,10250.591677487067
Gonzaga,10201.312300374726
Maryland,9589.717411489228
Texas Tech,9557.574981886799
Tennessee,9320.51864946392
Iowa St,9034.873557731129
UCLA,8806.212067608503
Louisville,8726.35235925804
UConn,8646.575115121575
Saint Mary's,8535.85192353937
North Carolina,8527.17342098406
VCU,8268.9523282193
Missouri,8257.879381033592
Wisconsin,8252.68548881084
Clemson,8071.01517589055
Arizona,7904.093098531972
Illinois,7614.658498271277
BYU,7463.360750763807
Kentucky,7103.434760151432
UCSD,6949.1621602927735
Arkansas,6901.754675701775
Cincinnati,6835.002907822709
Kansas,6683.221445349725
Marquette,6671.791169941783
Baylor,6653.927111150512
New Mexico,6627.29420747316
Texas A&M,6497.673011818866
Purdue,6257.107254026214
Michigan,6152.732718153504
Creighton,6120.699628689141
Boise St,5994.946683804195
Xavier,5972.756359351689
Oregon,5499.769895287944
Memphis,5327.3122122906825
Georgia,5290.020344475717
Georgetown,5179.732589913457
Mississippi St,5166.723789829698
Ohio St,5159.38221130115
Texas,5103.720441933286
Indiana,5023.513830654115
Grand Canyon,4923.29760079105
Mississippi,4900.398868244141
Saint Joseph's,4792.42294530958
McNeese,4734.5700966710065
Stanford,4582.432731466736
Santa Clara,4509.473796620997
High Point,4504.569837800926
Oklahoma,4482.146769975457
Colorado St,4410.063448098161
SMU,4373.067882905377
Arkansas St,4252.743716487063
Drake,4238.015074155503
San Diego St,4128.919115328201
Akron,4027.7000787648376
Vanderbilt,4011.324141325585
Villanova,3951.0641924401066
Pittsburgh,3887.221253495193
Yale,3750.7708380852932
USC,3519.888670882634
UC Irvine,3426.1190392189515
Lipscomb,3357.13660102863
Liberty,3356.487805242072
Troy,3286.9650188995915
Florida St,3266.8258201385306
George Mason,3205.5003386031417
Virginia,3134.5156683372443
Dayton,3080.5898461018223
Utah,3066.412871618601
Nevada,2997.689353431589
Notre Dame,2976.6910914211003
LSU,2913.7801114582185
Wake Forest,2897.5285382420957
NC State,2893.2059782385672
Loyola Chi,2834.5304197163105
Northwestern,2826.8201495874077
